Product_ID,Category,Subcategory,Price,Brand,Average_Rating_of_Similar_Products,Product_Rating,Customer_Review_Sentiment_Score,Holiday,Season,Geographical_Location,Similar_Product_List,Probability_of_Recommendation
P2000,Fashion,Jeans,1713,Brand B,4.2,2.3,0.26,No,Summer,Canada,"['Jeans', 'Shoes']",0.91
P2001,Beauty,Lipstick,1232,Brand C,4.7,2.1,0.21,Yes,Winter,India,"['Moisturizer', 'Lipstick', 'Lipstick']",0.26
P2002,Electronics,Laptop,4833,Brand B,3.5,2.4,0.74,Yes,Spring,Canada,"['Headphones', 'Headphones', 'Smartphone']",0.6
P2003,Books,Comics,4902,Brand D,3.4,4.2,0.8,No,Winter,Germany,"['Biography', 'Non-fiction', 'Comics']",0.36
P2004,Home Decor,Cushions,856,Brand C,3.2,3.3,0.08,Yes,Summer,USA,['Lamp'],0.37
P2005,Fashion,T-shirt,1451,Brand A,4.7,2.5,0.68,No,Winter,Canada,"['T-shirt', 'Shoes', 'Jacket']",0.7
P2006,Books,Comics,217,Brand C,3.9,2.6,0.64,No,Summer,Germany,['Comics'],0.79
P2007,Books,Comics,3823,Brand B,4.2,3.8,0.39,Yes,Summer,USA,"['Comics', 'Fiction']",0.92
P2008,Books,Non-fiction,3288,Brand B,3.1,4.3,0.73,Yes,Autumn,India,"['Fiction', 'Comics']",0.17
P2009,Electronics,Smartphone,1195,Brand A,4.2,2.7,0.64,Yes,Autumn,India,"['Smartphone', 'Smartwatch', 'Laptop']",0.45
P2010,Books,Fiction,1285,Brand D,3.1,2.1,0.53,No,Spring,India,"['Biography', 'Biography', 'Biography']",0.85
P2011,Fitness,Treadmill,2136,Brand C,2.2,4.5,0.04,No,Spring,Canada,"['Dumbbells', 'Dumbbells']",0.89
P2012,Fashion,Shoes,1559,Brand C,4.1,2.8,0.89,Yes,Summer,UK,"['Jeans', 'T-shirt', 'Jacket']",0.26
P2013,Fashion,Shoes,4724,Brand D,3.9,3.2,0.98,Yes,Summer,Canada,"['Jacket', 'Jacket']",0.14
